# A Sociedade dos Ratos Sedentos: Bullet Points

| Português                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | English                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|**Ficheiros:** s24_sociedade_dos_ratos_sedentos.md, s24_sociedade_dos_ratos_sedentos.txt||

<!-- ==== s24_sociedade_dos_ratos_sedentos_summary.md ==== -->

# A Sociedade dos Ratos Sedentos

| Português (PT-PT)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | English (EN-US)                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| **📅 Data:** 2025-06-19  <br>**📍 Localização:** Cidade Livre de Greyhawk — Distrito de Jogo e cavernas subterrâneas sob a antiga Taverna Caldeirão do Grifo                                                                                                                                                                                                                                                                                                                                                                          | **📅 Date:** 2025-06-19  <br>**📍 Location:** Free City of Greyhawk — Gaming District and underground caves beneath the old Griffon's Cauldron Tavern                                                                                                                                                                                                                                                                                                                            |
| **📝 Descrição:** Sons estranhos vindos da taverna abandonada levam os aventureiros a investigar uma cave selada. Lá encontram os restos de um antigo laboratório arcano onde ratos foram transformados em criaturas inteligentes e profanas. Estes organizam-se numa sociedade tribal que venera um deus sangrento e é liderada por um rato albino com dons proféticos — o Vidente Escarlate. Após interações tensas e combates brutais, os aventureiros destroem o círculo ritual e escapam por pouco antes de o complexo colapsar. | **📝 Description:** Strange noises from the abandoned tavern lead the adventurers to a sealed cellar. There, they find the remains of an arcane lab where rats were turned into profane, intelligent beings. These rats formed a tribal society worshipping a blood god and led by a prophetic albino rat — the Scarlet Seer. After tense negotiations and brutal battles, the adventurers destroy the ritual circle and narrowly escape as the structure collapses behind them. |
| **🎲 Jogadores:** [nomes dos jogadores]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | **🎲 Players:** [player names]                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| **🧙‍♂️ PCs:** [nomes dos personagens]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | **🧙‍♂️ PCs:** [character names]                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| **👥 NPCs:** Vidente Escarlate, Rato-Coral, Rato-Escriba, ratos guerreiros, ratos de sangue, profetas menores                                                                                                                                                                                                                                                                                                                                                                                                                         | **👥 NPCs:** Scarlet Seer, Choir Rat, Scribe Rat, warrior rats, blood rats, lesser prophets                                                                                                                                                                                                                                                                                                                                                                                      |
| **🎯 Missão:**  <br>- Investigar origem dos sons na taverna.  <br>- Descobrir o segredo da cave selada.  <br>- Lidar com a sociedade dos ratos e seus rituais.  <br>- Impedir um ritual sangrento.  <br>- Escapar do colapso mágico da estrutura.                                                                                                                                                                                                                                                                                     | **🎯 Mission:**  <br>- Investigate the origin of the noises in the tavern.  <br>- Uncover the secret of the sealed cellar.  <br>- Deal with the rat society and their rituals.  <br>- Stop a blood ritual.  <br>- Escape the magical collapse of the structure.                                                                                                                                                                                                                  |
| **📌 Locais & Pistas:**  <br>- **Taverna Caldeirão do Grifo:** entrada abandonada, símbolos apagados, compartimento oculto.  <br>- **Laboratório de Alzar Vonn:** frascos arcanos, magia residual, armadilhas ilusórias.  <br>- **Caverna Viva:** túneis pulsantes, fungos, trilhos de sangue.  <br>- **Câmara Ritual:** ossos, círculo de invocação, altar de carne.                                                                                                                                                                 | **📌 Locations & Clues:**  <br>- **Griffon's Cauldron Tavern:** abandoned entrance, faded symbols, hidden compartment.  <br>- **Alzar Vonn’s Laboratory:** arcane vials, residual magic, illusory traps.  <br>- **Living Cavern:** pulsating tunnels, fungi, blood trails.  <br>- **Ritual Chamber:** bones, summoning circle, altar of flesh.                                                                                                                                   |
| **📜 Desenrolar da Sessão:**  <br>- Grupo entra na taverna e investiga a cave escondida.  <br>- Evitam armadilhas ilusórias e interagem com ratos cultistas.  <br>- Oferecem sangue e segredos como moeda simbólica.  <br>- Iniciam combate contra os ratos de sangue e o Vidente Escarlate.  <br>- Impedem a invocação de um horroresco ser profano.  <br>- Fogem antes do colapso total da caverna.                                                                                                                                 | **📜 Session Summary:**  <br>- Party enters the tavern and investigates the hidden cellar.  <br>- Avoid illusory traps and interact with cultist rats.  <br>- Offer blood and secrets as symbolic currency.  <br>- Engage in combat against the blood rats and the Scarlet Seer.  <br>- Prevent the summoning of a profane horror.  <br>- Escape just before the cave’s complete collapse.                                                                                       |
| **🏆 Recompensas & Consequências:**  <br>- Ouro antigo escondido nas paredes.  <br>- Garrafas mágicas de Lord Devraine (memórias roubadas).  <br>- Subterrâneo destruído, mas segredo preservado.  <br>- A cidade ignora o que se passou.  <br>- Um dos aventureiros carrega agora parte da consciência coletiva dos ratos.                                                                                                                                                                                                           | **🏆 Rewards & Consequences:**  <br>- Ancient gold hidden in walls.  <br>- Lord Devraine’s magical bottles (stolen memories).  <br>- Underground lair destroyed, but secret preserved.  <br>- The city remains unaware.  <br>- One adventurer now carries part of the rats’ collective consciousness.                                                                                                                                                                            |
| **💰 Loot:** garrafas encantadas, memória fragmentada, ouro oculto, promessa esquecida                                                                                                                                                                                                                                                                                                                                                                                                                                                | **💰 Loot:** enchanted bottles, fragmented memory, hidden gold, forgotten promise                                                                                                                                                                                                                                                                                                                                                                                                |
